Designator,MPN,Qty,Link
RS485,MAX3075EESA+,1,https://www.mouser.ca/ProductDetail/Maxim-Integrated/MAX3075EESA+?qs=1THa7WoU59GaWFrPbwCyRg%3D%3D
RECV,QTLP650D2TR,1,https://www.digikey.ca/en/products/detail/everlight-electronics-co-ltd/QTLP650D2TR/2675908
SEND,QTLP650C4TR,1,https://www.digikey.ca/en/products/detail/everlight-electronics-co-ltd/QTLP650C4TR/2675906
"C1,C2",1206DD106KAT2A,2,https://www.digikey.ca/en/products/detail/avx-corporation/1206DD106KAT2A/6149005
C3,CC1206KRX7R9BB104,1,https://www.digikey.ca/en/products/detail/yageo/CC1206KRX7R9BB104/302913
TVSDIODE,D5V0L2B3SO-7,1,https://www.digikey.ca/en/products/detail/diodes-incorporated/D5V0L2B3SO-7/2918772
L1,TYA2520126R8M-10,1,https://www.digikey.ca/en/products/detail/laird-signal-integrity-products/TYA2520126R8M-10/12649687
"R1,R2",RC1206FR-0775RL,2,https://www.digikey.ca/en/products/detail/yageo/RC1206FR-0775RL/729095
TERM,RC1206JR-07120RL,1,https://www.digikey.ca/en/products/detail/yageo/RC1206JR-07120RL/729215?s=N4IgTCBcDaIEoGECMYAMA2AUnAtKg7CqnADIgC6AvkA
